Player 1,Player 2,Date,Score Player 1,Score Player 2,Winner,Game Type
George,Fahim,2024-06-08 21:57:47,8,11,Fahim,Regular
Krzys,Saajan,2024-06-08 21:58:13,12,10,Krzys,Regular
George,Rohit,2024-06-08 21:58:59,11,2,George,Regular
Fahim,Rohit,2024-06-08 22:00:24,11,5,Fahim,Regular
Fahim,Saajan,2024-06-08 22:00:43,11,7,Fahim,Regular
Krzys,George,2024-06-08 22:00:56,11,8,Krzys,Regular
Saajan,Rohit,2024-06-08 22:01:08,11,6,Saajan,Regular
Krzys,Rohit,2024-06-08 22:01:26,11,9,Krzys,Regular
Saajan,George,2024-06-08 22:01:37,11,7,Saajan,Regular
Krzys,George,2024-06-08 22:01:50,11,3,Krzys,Regular
Saajan,Fahim,2024-06-08 22:02:02,11,13,Fahim,Regular
Fahim,George,2024-06-08 22:02:37,11,8,Fahim,Regular
Krzys,Stefan,2024-06-08 22:03:21,11,5,Krzys,Regular
Fahim,Stefan,2024-06-08 22:03:59,11,4,Fahim,Regular
Saajan,Krzys,2024-06-08 22:04:23,7,11,Krzys,Regular
George,Stefan,2024-06-08 22:04:35,11,8,George,Regular
Fahim,Krzys,2024-06-08 22:04:49,11,6,Fahim,Regular
Saajan,Stefan,2024-06-08 22:05:03,11,4,Saajan,Regular
George,Saajan,2024-06-08 22:05:22,11,5,George,Regular
George,Fahim,2024-06-08 22:05:47,6,11,Fahim,Regular
George,Fahim,2024-06-08 22:05:56,8,11,Fahim,Regular
George,Fahim,2024-06-08 22:06:17,4,11,Fahim,Regular
Fahim,George,2024-06-08 22:06:42,11,4,Fahim,Playoff
Fahim,George,2024-06-08 22:06:50,11,3,Fahim,Playoff
Krzys,Saajan,2024-06-08 22:07:07,11,7,Krzys,Playoff
Krzys,Saajan,2024-06-08 22:07:17,11,2,Krzys,Playoff
Fahim,Krzys,2024-06-08 22:07:29,11,7,Fahim,Playoff
Fahim,Krzys,2024-06-08 22:07:39,11,7,Fahim,Playoff
George,Krzys,2024-06-08 22:07:58,7,11,Krzys,Playoff
George,Krzys,2024-06-08 22:08:08,4,11,Krzys,Playoff
Fahim,Saajan,2024-06-08 22:08:52,11,6,Fahim,Playoff
Fahim,Saajan,2024-06-08 22:09:02,11,7,Fahim,Playoff
Fahim,Krzys,2024-06-08 22:09:12,13,11,Fahim,Playoff
Fahim,Krzys,2024-06-08 22:09:24,11,9,Fahim,Playoff
Fahim,Krzys,2024-06-08 22:09:34,11,6,Fahim,Playoff
